hvac_on,outdoor_temp,outdoor_rh,return_temp,mixed_temp,supply_temp,return_rh,mixed_rh,supply_rh,outdoor_co2_ppm,return_co2_ppm,mixed_co2_ppm,supply_co2_ppm,total_flow_kg_s,oa_flow_kg_s,recirc_flow_kg_s,chw_flow_kg_s,chw_flow_m3_min,coil_load_kw,coil_load_latent_kw,coil_load_sensible_kw,chiller_power_kw,coil_valve_pos,chw_t_in,chw_t_out,fan_power_kw,chw_pump_power_kw,chw_pump_dp_pa,chw_pump_inv,fan_dp_pa,supply_static_pa,fan_flow_m3_min,coil_dp_pa,supply_trunk_dp_pa,return_trunk_dp_pa,fan_inv,zone1_temp,zone1_flow_kg_s,zone1_damper,zone1_dp_pa,zone1_co2_ppm,zone1_rh,zone1_occupancy,zone2_temp,zone2_flow_kg_s,zone2_damper,zone2_dp_pa,zone2_co2_ppm,zone2_rh,zone2_occupancy,zone3_temp,zone3_flow_kg_s,zone3_damper,zone3_dp_pa,zone3_co2_ppm,zone3_rh,zone3_occupancy,zone4_temp,zone4_flow_kg_s,zone4_damper,zone4_dp_pa,zone4_co2_ppm,zone4_rh,zone4_occupancy,oa_damper,ra_damper,ea_damper
False,27.369999999999997,82.2,27.965155331233564,27.369999999999997,,50.41679123270049,82.2,82.2,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.224213315011262,0.0,0.0,0.0,420.0,50.47940551287864,0.0,27.724609966587934,0.0,0.0,0.0,420.0,50.43405037466925,0.0,27.4091841480579,0.0,0.0,0.0,420.0,50.4584222305547,0.0,28.51526189463024,0.0,0.0,0.0,420.0,50.39503203725453,0.0,0.0,0.0,0.0
False,27.34,82.4,27.968317331071834,27.34,,50.45571126880639,82.39999999999999,82.39999999999999,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.227109125433675,0.0,0.0,0.0,420.0,50.52143076167523,0.0,27.727627724388874,0.0,0.0,0.0,420.0,50.473917794058806,0.0,27.41207406744289,0.0,0.0,0.0,420.0,50.497848517358314,0.0,28.51796562215432,0.0,0.0,0.0,420.0,50.432721886129336,0.0,0.0,0.0,0.0
False,27.31,82.6,27.97119413485494,27.31,,50.49546354328896,82.60000000000001,82.60000000000001,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.229748179271503,0.0,0.0,0.0,420.0,50.56419893572247,0.0,27.730397300807645,0.0,0.0,0.0,420.0,50.5145100281538,0.0,27.414729445151007,0.0,0.0,0.0,420.0,50.537964427020334,0.0,28.520419878878187,0.0,0.0,0.0,420.0,50.471139634357584,0.0,0.0,0.0,0.0
False,27.28,82.8,27.973823701027086,27.28,,50.53593738311767,82.80000000000001,82.80000000000001,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.232164409204984,0.0,0.0,0.0,420.0,50.60761117182092,0.0,27.73295138345476,0.0,0.0,0.0,420.0,50.55573152283136,0.0,27.417181030575566,0.0,0.0,0.0,420.0,50.57867979063523,0.0,28.522657567542716,0.0,0.0,0.0,420.0,50.510189650704305,0.0,0.0,0.0,0.0
False,27.25,83.0,27.976238597694504,27.25,,50.57703769816795,83.0,83.0,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.23438692466787,0.0,0.0,0.0,420.0,50.6515825175885,0.0,27.73531801998542,0.0,0.0,0.0,420.0,50.59750015792809,0.0,27.419455211305998,0.0,0.0,0.0,420.0,50.619917105861546,0.0,28.524706917224776,0.0,0.0,0.0,420.0,50.54978975841864,0.0,0.0,0.0,0.0
False,27.22,83.2,27.978466768296016,27.22,,50.61868276978612,83.2,83.2,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.236440697643786,0.0,0.0,0.0,420.0,50.69603995706243,0.0,27.737521276941372,0.0,0.0,0.0,420.0,50.63974534273312,0.0,27.421574632054313,0.0,0.0,0.0,420.0,50.6616097426426,0.0,28.52659214741529,0.0,0.0,0.0,420.0,50.58986932603604,0.0,0.0,0.0,0.0
False,27.19,83.4,27.98053218851369,27.19,,50.660802354473,83.4,83.4,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.238347150952087,0.0,0.0,0.0,420.0,50.74092071758407,0.0,27.73958180504162,0.0,0.0,0.0,420.0,50.68240638245577,0.0,27.42355872575772,0.0,0.0,0.0,420.0,50.703700403970075,0.0,28.528334037738713,0.0,0.0,0.0,420.0,50.63036763008232,0.0,0.0,0.0,0.0
False,27.16,83.6,27.982455429872534,27.16,,50.703336057477784,83.6,83.6,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.240124662887784,0.0,0.0,0.0,420.0,50.786170817635444,0.0,27.74151732420564,0.0,0.0,0.0,420.0,50.72543107687931,0.0,27.425424169319303,0.0,0.0,0.0,420.0,50.74613980522887,0.0,28.529950416721334,0.0,0.0,0.0,420.0,50.67123245071353,0.0,0.0,0.0,0.0
False,27.130000000000003,83.8,27.984254143283515,27.130000000000003,,50.746231937636324,83.79999999999997,83.79999999999997,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.24178900010887,0.0,0.0,0.0,420.0,50.831743821148024,0.0,27.743343039706506,0.0,0.0,0.0,420.0,50.768774518020464,0.0,27.427185274680443,0.0,0.0,0.0,420.0,50.78888554092329,0.0,28.53145658111071,0.0,0.0,0.0,420.0,50.71241886697726,0.0,0.0,0.0,0.0
False,27.1,84.0,27.98594347390163,27.1,,50.78944531041141,83.99999999999999,83.99999999999999,420.0,420.0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.243353688973176,0.0,0.0,0.0,420.0,50.87759976879216,0.0,27.745071999233083,0.0,0.0,0.0,420.0,50.81239805840704,0.0,27.428854324401186,0.0,0.0,0.0,420.0,50.831901112085845,0.0,28.532865655614145,0.0,0.0,0.0,420.0,50.75388822319107,0.0,0.0,0.0,0.0
